ID segnalazione,Validità temporale,Categoria evento,Codice evento,Descrizione evento,Coord. Inizio,Coord. Fine,Coord. Media,Numero di Coord,Elenco coordinate,Tipo di rappresentazione,Data Inizio evento,Ora Inizio evento,Data Fine evento,Ora Fine evento,Località Inizio segnalazione,Origine,Località Fine segnalazione,Destinazione,Numero della strada,Lunghezza (m),Ritardo (s),Validità temporale,Probabilità,Numero segnalazioni,Ultimo aggiornamento
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43359263572004000,present,🚧,701,🚧Lavori stradali,"44.8321621621,10.3438894056","44.8325255916,10.3439430497","44.8325255916,10.3439430497",2,"[[10.3438894056,44.8321621621],[10.3439430497,44.8325255916]]",LineString,07/05/2025,08:18:01,,,Parma,,Parma,,,08/02/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43359263644004000,present,🚧,701,🚧Lavori stradali,"44.8325255916,10.3439430497","44.8321621621,10.3438894056","44.8321621621,10.3438894056",2,"[[10.3439430497,44.8325255916],[10.3438894056,44.8321621621]]",LineString,07/05/2025,08:40:02,,,Parma,,Parma,,,08/02/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43359263712012000,present,⛔,401,⛔Strada chiusa,"44.8325255916,10.3439430497","44.8337017583,10.3440463148","44.8331853939,10.3440060817",6,"[[10.3439430497,44.8325255916],[10.3439524375,44.8326221253],[10.3440007172,44.8330942109],[10.3440060817,44.8331853939],[10.3440261982,44.8335180266],[10.3440463148,44.8337017583]]",LineString,07/05/2025,09:43:00,,,Parma,,Parma,,,10/05/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43359263784012000,present,⛔,401,⛔Strada chiusa,"44.8337017583,10.3440463148","44.8326221253,10.3439524375","44.8331853939,10.3440060817",5,"[[10.3440463148,44.8337017583],[10.3440261982,44.8335180266],[10.3440060817,44.8331853939],[10.3440007172,44.8330942109],[10.3439524375,44.8326221253]]",LineString,30/04/2025,13:39:30,,,Parma,,Parma,,,29/04/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43333295116066000,present,🚧,703,👷‍♂️🚧Lavori di manutenzione,"44.8740649633,10.3488421045","44.8626963906,10.3452238046","44.8672480931,10.3466815852",18,"[[10.3488421045,44.8740649633],[10.3488380812,44.8740501729],[10.3484290443,44.8727707604],[10.3482479952,44.8721712877],[10.3471710883,44.8687555049],[10.346961876,44.8681171394],[10.3468773864,44.8678570031],[10.3467580281,44.8675056183],[10.3467043839,44.8673232419],[10.3466815852,44.8672480931],[10.3461679421,44.8656454706],[10.3460177384,44.8651412147],[10.345768293,44.8643848821],[10.3455684684,44.8637867479],[10.3455349408,44.8636821273],[10.3452989064,44.862933796],[10.345229169,44.8627138574],[10.3452238046,44.8626963906]]",LineString,07/05/2025,09:56:00,,,,,,,SP343R,18/07/1903,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43463138512004000,present,⛔,401,⛔Strada chiusa,"44.696387396,10.356265118","44.6969359075,10.3535694979","44.6968661373,10.3541086219",8,"[[10.356265118,44.696387396],[10.3557823203,44.6964892815],[10.3555824958,44.6965308699],[10.3553974233,44.6965737689],[10.3541086219,44.6968661373],[10.3537733458,44.6969291748],[10.3537264071,44.696931856],[10.3535694979,44.6969359075]]",LineString,29/04/2025,11:53:00,,,Montechiarugolo,,Montechiarugolo,,,09/08/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43463138440004000,present,⛔,401,⛔Strada chiusa,"44.6969359075,10.3535694979","44.696387396,10.356265118","44.6965737689,10.3553974233",8,"[[10.3535694979,44.6969359075],[10.3537264071,44.696931856],[10.3537733458,44.6969291748],[10.3541086219,44.6968661373],[10.3553974233,44.6965737689],[10.3555824958,44.6965308699],[10.3557823203,44.6964892815],[10.356265118,44.696387396]]",LineString,29/04/2025,10:26:30,,,Montechiarugolo,,Montechiarugolo,,,09/08/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43356378408004000,present,🚧,701,🚧Lavori stradali,"44.8452352065,10.3557930492","44.844942875,10.3573393427","44.8449911315,10.3569490813",12,"[[10.3557930492,44.8452352065],[10.3562543891,44.8451681706],[10.3564662836,44.8451413682],[10.356663426,44.8451105245],[10.356894096,44.8450568601],[10.3569088481,44.8450300576],[10.3569490813,44.8449911315],[10.3569960199,44.8449576135],[10.3570644162,44.8449347927],[10.3571596347,44.8449173799],[10.3572561942,44.8449187468],[10.3573393427,44.844942875]]",LineString,6/5/2025,14:15:30,,,,,Parma,,,10/05/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43321753304006000,present,⛔,401,⛔Strada chiusa,"44.886185862,10.3593697749","44.8865546517,10.3595186375","44.8865546517,10.3595186375",2,"[[10.3593697749,44.886185862],[10.3595186375,44.8865546517]]",LineString,12/3/2025,06:26:30,,,Torrile,,Torrile,,,10/02/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43321753520006000,present,⛔,401,⛔Strada chiusa,"44.8865546517,10.3595186375","44.886185862,10.3593697749","44.886185862,10.3593697749",2,"[[10.3595186375,44.8865546517],[10.3593697749,44.886185862]]",LineString,12/03/2025,12:23:00,,,Torrile,,Torrile,,,10/02/1900,,present,Probabile,, - 
