ID segnalazione,Validità temporale,Categoria evento,Codice evento,Descrizione evento,Coord. Inizio,Coord. Fine,Coord. Media,Numero di Coord,Elenco coordinate,Tipo di rappresentazione,Data Inizio evento,Ora Inizio evento,Data Fine evento,Ora Fine evento,Località Inizio segnalazione,Origine,Località Fine segnalazione,Destinazione,Numero della strada,Lunghezza (m),Ritardo (s),Validità temporale,Probabilità,Numero segnalazioni,Ultimo aggiornamento
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43520848140012000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.7049101274,10.6378420793","44.7073978621,10.6393387519","44.7064510343,10.6387205028",20,"[[10.6378420793,44.7049101274],[10.6378957235,44.7050012748],[10.6379735075,44.7051541994],[10.6380164229,44.7052762053],[10.638056656,44.7053043833],[10.638094207,44.7053727732],[10.6382524573,44.7056597951],[10.6382953726,44.7057375375],[10.6384308242,44.7059709425],[10.6386145555,44.7062753566],[10.6387205028,44.7064510343],[10.6387433015,44.7064926155],[10.6388894819,44.7066977805],[10.6389753126,44.7068265147],[10.6389954292,44.7068627342],[10.6391295396,44.7071095382],[10.6391590439,44.7071604716],[10.6391965949,44.7072261785],[10.6392529212,44.7072986169],[10.6393387519,44.7073978621]]",LineString,07/05/2025,12:14:30,07/05/2025,12:39:06,,,,,,27/10/1900,218,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43543931484012000,present,🚧,701,🚧Lavori stradali,"44.6864109205,10.6459383272","44.6868159097,10.6462414168","44.6865825466,10.6460469567",3,"[[10.6459383272,44.6864109205],[10.6460469567,44.6865825466],[10.6462414168,44.6868159097]]",LineString,06/05/2025,20:15:30,,,,,,,,19/02/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43731483148118000,present,⛔,401,⛔Strada chiusa,"44.4271016553,10.6358693146","44.4328455898,10.6464331948","44.4320919188,10.6396968268",95,"[[10.6358693146,44.4271016553],[10.6363802754,44.427372575],[10.6365599834,44.4274691265],[10.6366672718,44.42752677],[10.6368389331,44.4276179939],[10.6369421982,44.4277118514],[10.6369663381,44.4277426782],[10.6370199822,44.4278137895],[10.6370749675,44.4279532583],[10.6371500694,44.4281852666],[10.6371594571,44.4282885208],[10.6371675037,44.428383754],[10.6371621393,44.4286036694],[10.6371540927,44.4287659419],[10.6371500694,44.428894694],[10.6371473872,44.4289952534],[10.6371715271,44.4291723093],[10.6372104191,44.4294539337],[10.6372667455,44.4296645076],[10.6373726927,44.4298522757],[10.6374893688,44.429990363],[10.6376958989,44.4301942311],[10.6377401554,44.4302974818],[10.6377575897,44.4303819975],[10.6377602719,44.4304865646],[10.6377589308,44.4306569123],[10.6377642952,44.4306904311],[10.6377710008,44.4307373574],[10.6378367149,44.430824566],[10.6378970646,44.4308661052],[10.6379453444,44.4308835828],[10.6380110585,44.4309010005],[10.6380888425,44.4309050108],[10.6382779383,44.4309023173],[10.6383879088,44.4308822061],[10.6388693654,44.430808465],[10.6390142046,44.430808465],[10.6392260992,44.4308231893],[10.6393038832,44.4308553912],[10.6393991016,44.4309077043],[10.6395788096,44.4310136471],[10.6396498882,44.4310712871],[10.6397330367,44.431159812],[10.6398000919,44.4312805384],[10.6398228907,44.4314293961],[10.6397866808,44.431698919],[10.6397477888,44.4319067915],[10.6396968268,44.4320919188],[10.6396673225,44.4322662121],[10.6396673225,44.4322970964],[10.6396941446,44.4323561118],[10.639762541,44.4324151271],[10.6398376428,44.4324365545],[10.6399462723,44.4324660621],[10.6401675545,44.4325263941],[10.6407495939,44.432677942],[10.6408568822,44.4327329468],[10.6409748994,44.4327302534],[10.6411277854,44.4327329468],[10.6414657437,44.4327289367],[10.6419565879,44.4327248667],[10.6421698236,44.4327248667],[10.6423468493,44.4327155296],[10.6425010764,44.4326940424],[10.6427719795,44.4326270071],[10.643189063,44.4325237007],[10.6433124446,44.4324982631],[10.6435820066,44.4324419413],[10.6437201404,44.4324311677],[10.6437952422,44.4324244642],[10.6440594398,44.4324164438],[10.6441291772,44.4324271576],[10.6441667282,44.4324325444],[10.6442431711,44.4324727657],[10.6443075441,44.4325384844],[10.6444309258,44.4326538212],[10.6445905172,44.4327691578],[10.6446924411,44.4328254793],[10.644780954,44.4328428965],[10.6448413037,44.4328402031],[10.6449620031,44.432786575],[10.6450357639,44.4327543741],[10.6451162302,44.4327114596],[10.645216813,44.4326886556],[10.6453039848,44.4326739318],[10.6453790866,44.4326632181],[10.6455105149,44.4326618415],[10.6457237505,44.4326578314],[10.64582031,44.432659208],[10.6459959947,44.4326819521],[10.6460684144,44.4326980526],[10.6461596095,44.4327289367],[10.6462467813,44.4327584441],[10.6463540696,44.432799982],[10.6464331948,44.4328455898]]",LineString,06/04/2025,15:26:30,,,Baiso,,Baiso,,,16/09/1903,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43731483216118000,present,⛔,401,⛔Strada chiusa,"44.4328455898,10.6464331948","44.4271016553,10.6358693146","44.4320919188,10.6396968268",95,"[[10.6464331948,44.4328455898],[10.6463540696,44.432799982],[10.6462467813,44.4327584441],[10.6461596095,44.4327289367],[10.6460684144,44.4326980526],[10.6459959947,44.4326819521],[10.64582031,44.432659208],[10.6457237505,44.4326578314],[10.6455105149,44.4326618415],[10.6453790866,44.4326632181],[10.6453039848,44.4326739318],[10.645216813,44.4326886556],[10.6451162302,44.4327114596],[10.6450357639,44.4327543741],[10.6449620031,44.432786575],[10.6448413037,44.4328402031],[10.644780954,44.4328428965],[10.6446924411,44.4328254793],[10.6445905172,44.4327691578],[10.6444309258,44.4326538212],[10.6443075441,44.4325384844],[10.6442431711,44.4324727657],[10.6441667282,44.4324325444],[10.6441291772,44.4324271576],[10.6440594398,44.4324164438],[10.6437952422,44.4324244642],[10.6437201404,44.4324311677],[10.6435820066,44.4324419413],[10.6433124446,44.4324982631],[10.643189063,44.4325237007],[10.6427719795,44.4326270071],[10.6425010764,44.4326940424],[10.6423468493,44.4327155296],[10.6421698236,44.4327248667],[10.6419565879,44.4327248667],[10.6414657437,44.4327289367],[10.6411277854,44.4327329468],[10.6409748994,44.4327302534],[10.6408568822,44.4327329468],[10.6407495939,44.432677942],[10.6401675545,44.4325263941],[10.6399462723,44.4324660621],[10.6398376428,44.4324365545],[10.639762541,44.4324151271],[10.6396941446,44.4323561118],[10.6396673225,44.4322970964],[10.6396673225,44.4322662121],[10.6396968268,44.4320919188],[10.6397477888,44.4319067915],[10.6397866808,44.431698919],[10.6398228907,44.4314293961],[10.6398000919,44.4312805384],[10.6397330367,44.431159812],[10.6396498882,44.4310712871],[10.6395788096,44.4310136471],[10.6393991016,44.4309077043],[10.6393038832,44.4308553912],[10.6392260992,44.4308231893],[10.6390142046,44.430808465],[10.6388693654,44.430808465],[10.6383879088,44.4308822061],[10.6382779383,44.4309023173],[10.6380888425,44.4309050108],[10.6380110585,44.4309010005],[10.6379453444,44.4308835828],[10.6378970646,44.4308661052],[10.6378367149,44.430824566],[10.6377710008,44.4307373574],[10.6377642952,44.4306904311],[10.6377589308,44.4306569123],[10.6377602719,44.4304865646],[10.6377575897,44.4303819975],[10.6377401554,44.4302974818],[10.6376958989,44.4301942311],[10.6374893688,44.429990363],[10.6373726927,44.4298522757],[10.6372667455,44.4296645076],[10.6372104191,44.4294539337],[10.6371715271,44.4291723093],[10.6371473872,44.4289952534],[10.6371500694,44.428894694],[10.6371540927,44.4287659419],[10.6371621393,44.4286036694],[10.6371675037,44.428383754],[10.6371594571,44.4282885208],[10.6371500694,44.4281852666],[10.6370749675,44.4279532583],[10.6370199822,44.4278137895],[10.6369663381,44.4277426782],[10.6369421982,44.4277118514],[10.6368389331,44.4276179939],[10.6366672718,44.42752677],[10.6365599834,44.4274691265],[10.6363802754,44.427372575],[10.6358693146,44.4271016553]]",LineString,19/01/2025,15:45:00,,,Baiso,,Baiso,,,16/09/1903,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43564129460028000,present,🚧,701,🚧Lavori stradali,"44.6592226731,10.6508977317","44.6600608712,10.6479271852","44.6599522442,10.6488069498",9,"[[10.6508977317,44.6592226731],[10.6499106788,44.6595874896],[10.6494855486,44.6597390437],[10.649053713,44.6598623972],[10.6488069498,44.6599522442],[10.6486165129,44.6599858101],[10.648450216,44.6600179451],[10.6482866012,44.6600354137],[10.6479271852,44.6600608712]]",LineString,01/04/2025,12:28:00,,,Reggio Emilia,,Reggio Emilia,,SP66,11/09/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43558358444028000,present,🚧,701,🚧Lavori stradali,"44.6601279433,10.64739879","44.6592226731,10.6508977317","44.6599858101,10.6486165129",12,"[[10.64739879,44.6601279433],[10.6474926673,44.6601145289],[10.6477742993,44.6600796514],[10.6479271852,44.6600608712],[10.6482866012,44.6600354137],[10.648450216,44.6600179451],[10.6486165129,44.6599858101],[10.6488069498,44.6599522442],[10.649053713,44.6598623972],[10.6494855486,44.6597390437],[10.6499106788,44.6595874896],[10.6508977317,44.6592226731]]",LineString,01/04/2025,01:27:00,,,Reggio Emilia,,Reggio Emilia,,SP66,23/10/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43578556464018000,present,🚧,701,🚧Lavori stradali,"44.6394400301,10.6546447777","44.6384154516,10.6571620308","44.6389143536,10.6559000515",4,"[[10.6546447777,44.6394400301],[10.6555151545,44.6390712698],[10.6559000515,44.6389143536],[10.6571620308,44.6384154516]]",LineString,15/04/2025,20:53:00,,,Fogliano,,Reggio Emilia,,SP467r,16/08/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43578556536026000,present,🚧,701,🚧Lavori stradali,"44.6381016153,10.6579412126","44.6398732593,10.6535692119","44.6390712698,10.6555151545",6,"[[10.6579412126,44.6381016153],[10.6571620308,44.6384154516],[10.6559000515,44.6389143536],[10.6555151545,44.6390712698],[10.6546447777,44.6394400301],[10.6535692119,44.6398732593]]",LineString,15/04/2025,12:52:00,,,Reggio Emilia,,Reggio Emilia,,SP467r,01/02/1901,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43411202664028000,present,🚧,701,🚧Lavori stradali,"44.8595823452,10.6574651205","44.8602609688,10.6594298386","44.8599082305,10.658356955",11,"[[10.6574651205,44.8595823452],[10.6577239536,44.8596775859],[10.6578795218,44.8597339103],[10.6580391132,44.8597888682],[10.6582335733,44.8598612936],[10.658356955,44.8599082305],[10.6588531636,44.8600758958],[10.6589912974,44.860121466],[10.6592206263,44.8601871774],[10.6592876815,44.8602153393],[10.6594298386,44.8602609688]]",LineString,23/03/2025,09:09:30,,,Cadelbosco di Sopra,,Cadelbosco di Sopra,,SP81,20/06/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43561244204009000,present,🚗🚙🚚,115,🚗🐢🚙Rallentamenti,"44.6758993388,10.6937419974","44.6721965432,10.7030076884","44.6744643711,10.697188636",39,"[[10.6937419974,44.6758993388],[10.6937647962,44.6758912923],[10.6938103937,44.6758751994],[10.6938479447,44.6758604178],[10.6939485275,44.6758161921],[10.6941805386,44.6757209458],[10.6943106257,44.6756847664],[10.6946056687,44.6755506583],[10.6951756381,44.6752864346],[10.6954076492,44.6751858827],[10.6957120799,44.6750544556],[10.6961157524,44.6748962063],[10.6963812911,44.6747982762],[10.6964684629,44.6747620963],[10.6965569758,44.6747258568],[10.6966387831,44.6746896768],[10.696713885,44.6746802593],[10.6968158089,44.6746346618],[10.696944555,44.6745783354],[10.697188636,44.6744643711],[10.6975440287,44.6743020671],[10.697817614,44.6741733202],[10.6984425687,44.6738903741],[10.698651781,44.6738031714],[10.6992284559,44.673564451],[10.6995234989,44.6734478025],[10.6998990082,44.6733042714],[10.7002852463,44.6731661642],[10.7005320095,44.6730762781],[10.7008485102,44.6729649931],[10.7013259434,44.6727906443],[10.7015418612,44.6727128578],[10.7017980122,44.6726243419],[10.7020890319,44.6725211031],[10.7024283313,44.6724003992],[10.7027287387,44.672294418],[10.7028507792,44.6722515009],[10.7029795252,44.6722059015],[10.7030076884,44.6721965432]]",LineString,07/05/2025,12:12:30,07/05/2025,12:38:06,Reggio Nell'emilia,,Reggio Emilia,,SS9,20/04/1902,41,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43691087884020000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.5120995224,10.7321083152","44.5106376711,10.7318521642","44.5119560107,10.7321203851",20,"[[10.7321083152,44.5120995224],[10.7321042918,44.5120941429],[10.7321029507,44.5120847588],[10.7321029507,44.5120753747],[10.7321083152,44.5120659905],[10.7321150207,44.5120579214],[10.7321217262,44.5120525419],[10.7321311139,44.5120485372],[10.732144525,44.5120431578],[10.732132455,44.5120056212],[10.7321203851,44.5119560107],[10.7321096563,44.5119077151],[10.7321016096,44.5118447157],[10.7320627176,44.5116582871],[10.7320332133,44.51138471],[10.7320077323,44.5112197382],[10.7319567703,44.5109649277],[10.731927266,44.5108388669],[10.7319031262,44.5107490282],[10.7318521642,44.5106376711]]",LineString,07/05/2025,12:16:30,07/05/2025,12:38:06,Castellarano,,Castellarano,,,14/06/1900,137,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43324640748003000,present,🚧,701,🚧Lavori stradali,"44.9984014181,10.7332281374","44.9983933573,10.7330484294","44.9983933573,10.7330484294",2,"[[10.7332281374,44.9984014181],[10.7330484294,44.9983933573]]",LineString,09/03/2025,13:40:00,,,Suzzara,,Suzzara,,,13/01/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43636265124012000,present,🚧,701,🚧Lavori stradali,"44.5838566484,10.7332375252","44.5845526622,10.7326232993","44.5842482654,10.7329290711",8,"[[10.7332375252,44.5838566484],[10.7331879043,44.5839290619],[10.7331275546,44.5840054751],[10.7329907619,44.5841811653],[10.7329290711,44.5842482654],[10.7328258061,44.5843514823],[10.73270913,44.584470877],[10.7326232993,44.5845526622]]",LineString,06/05/2025,19:15:30,,,Casalgrande,,Casalgrande,,,31/03/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43497765644012000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.7824272842,10.7786285483","44.7885695571,10.7773866855","44.7854836298,10.7779687249",34,"[[10.7786285483,44.7824272842],[10.7785842919,44.7826485406],[10.7785306477,44.7828014385],[10.7784595692,44.7829489816],[10.7783925139,44.7830871244],[10.7783107066,44.7832252669],[10.778239628,44.7833620408],[10.7781685495,44.7835363541],[10.778149774,44.7836342786],[10.7781296574,44.7837388662],[10.7780545556,44.7840835635],[10.7780223691,44.7843249218],[10.7780009114,44.7844577071],[10.7779834771,44.7847433848],[10.7779727482,44.7849686777],[10.777970066,44.7851162153],[10.7779647016,44.78536566],[10.7779687249,44.7854836298],[10.7779647016,44.7855775652],[10.7779660427,44.7856566873],[10.7779579961,44.7857264099],[10.777944585,44.7858309937],[10.7778922819,44.7860388519],[10.7778118157,44.7862882926],[10.777790358,44.786363428],[10.7777112328,44.7866464192],[10.7776414954,44.7869427941],[10.7775610291,44.7874537428],[10.7775020205,44.7878896131],[10.7774792218,44.7880974639],[10.7774577641,44.7882302405],[10.7774215543,44.7884072755],[10.7773893678,44.7885574812],[10.7773866855,44.7885695571]]",LineString,07/05/2025,12:10:00,07/05/2025,12:38:06,,,Correggio,,SP48,23/11/1901,163,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43682431904013000,present,⛔,401,⛔Strada chiusa,"44.5432613949,10.7887485229","44.5421536332,10.7881651425","44.5424782036,10.7883354628",3,"[[10.7887485229,44.5432613949],[10.7883354628,44.5424782036],[10.7881651425,44.5421536332]]",LineString,14/04/2025,12:00:00,,,Sassuolo,,Sassuolo,,,10/05/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43437172036022000,present,⛔,401,⛔Strada chiusa,"44.8696809026,10.8027724528","44.8716388733,10.8034202063","44.8703460415,10.8029843473",9,"[[10.8027724528,44.8696809026],[10.8027912282,44.8697439298],[10.8028059804,44.8698190159],[10.8028287792,44.8698995076],[10.8029843473,44.8703460415],[10.8030970001,44.8706692522],[10.8031171166,44.8707282984],[10.8031640553,44.8708690823],[10.8034202063,44.8716388733]]",LineString,24/04/2025,12:36:30,,,Fabbrico,,Fabbrico,,SP4,10/08/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43673775772014000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.5557658768,10.8109142982","44.5538480789,10.8105401301","44.5545199634,10.8106889927",13,"[[10.8109142982,44.5557658768],[10.8107077681,44.5550953207],[10.8106943571,44.5550456872],[10.810679605,44.5549880501],[10.8106501007,44.5548740301],[10.8106501007,44.5547922032],[10.8106889927,44.5545199634],[10.8107372724,44.5541940864],[10.8107587301,44.5540425553],[10.8106983804,44.5539299072],[10.8106688761,44.5538977135],[10.8106460773,44.5538896501],[10.8105401301,44.5538480789]]",LineString,07/05/2025,12:16:00,07/05/2025,12:39:06,,,,,,10/08/1900,227,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43924806436012000,present,🚧,701,🚧Lavori stradali,"44.2205379978,10.8106648528","44.2232108631,10.8120609426","44.2215974994,10.8116317892",15,"[[10.8106648528,44.2205379978],[10.8109867179,44.2207887887],[10.8113662505,44.2211107005],[10.811423918,44.2211777377],[10.8115285241,44.2213198611],[10.8115620517,44.2213775273],[10.8115955793,44.2214673904],[10.8116317892,44.2215974994],[10.811783334,44.2223096098],[10.8118678235,44.2227012518],[10.811886599,44.2227910528],[10.8119174444,44.2229922185],[10.8119590187,44.2230915097],[10.8120233917,44.2231799886],[10.8120609426,44.2232108631]]",LineString,06/05/2025,20:15:30,,,,,,,SP4,22/11/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43924806516020000,present,🚧,701,🚧Lavori stradali,"44.223715124,10.8132652544","44.2223136343,10.8117846751","44.2232108631,10.8120609426",13,"[[10.8132652544,44.223715124],[10.8130654299,44.2236399807],[10.8125517868,44.2234549151],[10.8123747611,44.2233905234],[10.8122098052,44.2233167612],[10.8121132457,44.2232550724],[10.8120609426,44.2232108631],[10.8120233917,44.2231799886],[10.8119590187,44.2230915097],[10.8119174444,44.2229922185],[10.811886599,44.2227910528],[10.8118678235,44.2227012518],[10.8117846751,44.2223136343]]",LineString,06/05/2025,16:15:30,,,Fanano,,Fanano,,SP4,02/08/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43792077464026000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.400000592,10.8211603367","44.402724402,10.8224504792","44.4010735071,10.8215586447",10,"[[10.8211603367,44.400000592],[10.8211616778,44.4000261036],[10.8211871588,44.4002111523],[10.8212770128,44.4004699798],[10.8213655257,44.4006979651],[10.8215586447,44.4010735071],[10.8217383527,44.4013805981],[10.8223110043,44.4024561826],[10.8223713541,44.4025862503],[10.8224504792,44.402724402]]",LineString,07/05/2025,12:17:00,07/05/2025,12:38:06,Serramazzoni,,Serramazzoni,,SS12,15/11/1900,110,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43460255244116000,present,⛔,401,⛔Strada chiusa,"44.8361103673,10.8129326605","44.8466983864,10.8228313529","44.8414989102,10.8177016282",53,"[[10.8129326605,44.8361103673],[10.8131324851,44.8365569255],[10.8131914937,44.8366883424],[10.8133068287,44.8369284108],[10.8134623968,44.8371845856],[10.8136166238,44.837424652],[10.8141074681,44.8380965232],[10.8146090412,44.8387174504],[10.8146425688,44.8387590553],[10.8147793614,44.8388904672],[10.8148651921,44.8389507941],[10.8151360952,44.8391640478],[10.81551831,44.8394363195],[10.8158683383,44.839705856],[10.8160037898,44.8398077863],[10.816223731,44.8399472788],[10.8164758586,44.8401416882],[10.816583147,44.8402194875],[10.8166823887,44.8403187422],[10.816749444,44.8403790677],[10.816813817,44.8404689317],[10.8172724747,44.8410429405],[10.8173770809,44.8411689981],[10.8174602293,44.8412601684],[10.8175380134,44.8413420076],[10.8176305496,44.8414291956],[10.8177016282,44.8414989102],[10.8177847766,44.8415753407],[10.8178625607,44.8416423807],[10.8179215693,44.8416893324],[10.8180074,44.8417671295],[10.8181280994,44.841874405],[10.8182675743,44.8419977865],[10.8184097313,44.842146664],[10.8185116553,44.842263329],[10.8186511301,44.8424497668],[10.8189864063,44.8429003766],[10.8192760848,44.8432745548],[10.8195805156,44.8436929469],[10.8197696113,44.8439343529],[10.8200874531,44.8443420428],[10.8202470445,44.8445231252],[10.8204683268,44.8447551379],[10.8205595219,44.8448476694],[10.8206963145,44.8449710445],[10.8209041857,44.8451386939],[10.8211697244,44.8453505578],[10.8213843011,44.8455182061],[10.8215210938,44.8456375386],[10.822049489,44.846060014],[10.8222734534,44.8462383573],[10.822537651,44.8464703632],[10.8228313529,44.8466983864]]",LineString,25/02/2025,09:41:30,,,Rio Saliceto,,Rio Saliceto,,SP46,25/11/1903,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43460255460116000,present,⛔,401,⛔Strada chiusa,"44.8466983864,10.8228313529","44.8361103673,10.8129326605","44.8414989102,10.8177016282",53,"[[10.8228313529,44.8466983864],[10.822537651,44.8464703632],[10.8222734534,44.8462383573],[10.822049489,44.846060014],[10.8215210938,44.8456375386],[10.8213843011,44.8455182061],[10.8211697244,44.8453505578],[10.8209041857,44.8451386939],[10.8206963145,44.8449710445],[10.8205595219,44.8448476694],[10.8204683268,44.8447551379],[10.8202470445,44.8445231252],[10.8200874531,44.8443420428],[10.8197696113,44.8439343529],[10.8195805156,44.8436929469],[10.8192760848,44.8432745548],[10.8189864063,44.8429003766],[10.8186511301,44.8424497668],[10.8185116553,44.842263329],[10.8184097313,44.842146664],[10.8182675743,44.8419977865],[10.8181280994,44.841874405],[10.8180074,44.8417671295],[10.8179215693,44.8416893324],[10.8178625607,44.8416423807],[10.8177847766,44.8415753407],[10.8177016282,44.8414989102],[10.8176305496,44.8414291956],[10.8175380134,44.8413420076],[10.8174602293,44.8412601684],[10.8173770809,44.8411689981],[10.8172724747,44.8410429405],[10.816813817,44.8404689317],[10.816749444,44.8403790677],[10.8166823887,44.8403187422],[10.816583147,44.8402194875],[10.8164758586,44.8401416882],[10.816223731,44.8399472788],[10.8160037898,44.8398077863],[10.8158683383,44.839705856],[10.81551831,44.8394363195],[10.8151360952,44.8391640478],[10.8148651921,44.8389507941],[10.8147793614,44.8388904672],[10.8146425688,44.8387590553],[10.8146090412,44.8387174504],[10.8141074681,44.8380965232],[10.8136166238,44.837424652],[10.8134623968,44.8371845856],[10.8133068287,44.8369284108],[10.8131914937,44.8366883424],[10.8131324851,44.8365569255],[10.8129326605,44.8361103673]]",LineString,25/02/2025,09:32:00,,,Rio Saliceto,,Rio Saliceto,,SP46,25/11/1903,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43792077696050000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.4059148543,10.8273294174","44.4042438692,10.8233087861","44.4052791611,10.8243146145",20,"[[10.8273294174,44.4059148543],[10.8267996811,44.4057995247],[10.826438924,44.4057458717],[10.8256154859,44.4056493443],[10.825386157,44.4056185057],[10.8250951373,44.4055608406],[10.8248295986,44.4054897622],[10.8246257507,44.4054226957],[10.8244862759,44.4053663477],[10.8244567716,44.4053502398],[10.8243146145,44.4052791611],[10.8241872096,44.4052134716],[10.824051758,44.4051155659],[10.8238774144,44.4049841266],[10.8237097764,44.4048285548],[10.8235998058,44.4046998095],[10.8235542082,44.4046475328],[10.8234549665,44.4045093857],[10.8233758413,44.4043793223],[10.8233087861,44.4042438692]]",LineString,07/05/2025,12:09:30,07/05/2025,12:38:06,Serramazzoni,,Serramazzoni,,SS12,28/01/1901,109,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43792077688074000,present,🚧,701,🚧Lavori stradali,"44.4059148543,10.8273294174","44.3997390675,10.8211402201","44.4045093857,10.8234549665",34,"[[10.8273294174,44.4059148543],[10.8267996811,44.4057995247],[10.826438924,44.4057458717],[10.8256154859,44.4056493443],[10.825386157,44.4056185057],[10.8250951373,44.4055608406],[10.8248295986,44.4054897622],[10.8246257507,44.4054226957],[10.8244862759,44.4053663477],[10.8244567716,44.4053502398],[10.8243146145,44.4052791611],[10.8241872096,44.4052134716],[10.824051758,44.4051155659],[10.8238774144,44.4049841266],[10.8237097764,44.4048285548],[10.8235998058,44.4046998095],[10.8235542082,44.4046475328],[10.8234549665,44.4045093857],[10.8233758413,44.4043793223],[10.8233087861,44.4042438692],[10.8231679701,44.4039555364],[10.8229936265,44.4035854023],[10.8228876793,44.403405694],[10.8224571847,44.4027378159],[10.8223713541,44.4025862503],[10.8223110043,44.4024561826],[10.8217383527,44.4013805981],[10.8215586447,44.4010735071],[10.8213655257,44.4006979651],[10.8212770128,44.4004699798],[10.8211871588,44.4002111523],[10.8211616778,44.4000261036],[10.8211603367,44.3999992745],[10.8211402201,44.3997390675]]",LineString,05/05/2025,06:55:30,,,Serramazzoni,,Serramazzoni,,SS12,14/07/1902,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43792077616074000,present,🚧,701,🚧Lavori stradali,"44.400000592,10.8211603367","44.4059550939,10.8274943733","44.4046998095,10.8235998058",34,"[[10.8211603367,44.400000592],[10.8211616778,44.4000261036],[10.8211871588,44.4002111523],[10.8212770128,44.4004699798],[10.8213655257,44.4006979651],[10.8215586447,44.4010735071],[10.8217383527,44.4013805981],[10.8223110043,44.4024561826],[10.8223713541,44.4025862503],[10.8224571847,44.4027378159],[10.8228876793,44.403405694],[10.8229936265,44.4035854023],[10.8231679701,44.4039555364],[10.8233087861,44.4042438692],[10.8233758413,44.4043793223],[10.8234549665,44.4045093857],[10.8235542082,44.4046475328],[10.8235998058,44.4046998095],[10.8237097764,44.4048285548],[10.8238774144,44.4049841266],[10.824051758,44.4051155659],[10.8241872096,44.4052134716],[10.8243146145,44.4052791611],[10.8244567716,44.4053502398],[10.8244862759,44.4053663477],[10.8246257507,44.4054226957],[10.8248295986,44.4054897622],[10.8250951373,44.4055608406],[10.825386157,44.4056185057],[10.8256154859,44.4056493443],[10.826438924,44.4057458717],[10.8267996811,44.4057995247],[10.8273294174,44.4059148543],[10.8274943733,44.4059550939]]",LineString,5/5/2025,04:48:30,,,Serramazzoni,,Serramazzoni,,SS12,29/06/1902,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43841129688026000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.3396991506,10.8330666625","44.3353016729,10.8328494036","44.3378779591,10.8328024649",19,"[[10.8330666625,44.3396991506],[10.8330559337,44.3395502993],[10.8330398404,44.3394376564],[10.8330130183,44.3393062494],[10.8329674208,44.3390366604],[10.8329607152,44.3389884016],[10.8329419398,44.3389186811],[10.8328762257,44.3386490903],[10.8328185582,44.3380710576],[10.8328024649,44.3378779591],[10.8328011238,44.3377680108],[10.8327984416,44.3374528524],[10.8328024649,44.3372999187],[10.8328078293,44.3370571785],[10.8328091704,44.336569057],[10.8328279459,44.3360795527],[10.8328319692,44.3358180423],[10.8328333103,44.335787167],[10.8328494036,44.3353016729]]",LineString,07/05/2025,12:13:00,07/05/2025,12:38:06,Pavullo nel Frignano,,Pavullo nel Frignano,,SS12,04/05/1901,233,present,Certo (verificato),, - 
